B0702,0.9356003430436335,0.41485938155869595,0.7389719121229963,-1,1872,133,1093,4049,0.9336658354114713,0.3161628103360919,0.17426657229376616
B0801,0.936558325346668,0.5565360147752925,0.9039770384803493,-1,1580,34,1132,2127,0.9789343246592317,0.42622066360938765,0.35993494430122575
B1402,0.9351428886994594,0.954954954954955,0.9609018746833305,-1,375,13,49,7,0.9664948453608248,0.981675392670157,0.8059977141244533
B1501,0.9368300171534828,0.6226652298850575,0.8926586978649966,-1,2010,79,1457,2022,0.9621828626136908,0.49851190476190477,0.41270934393495984
B1801,0.9357817096865206,0.9076923076923077,0.9680438656541794,-1,1000,127,1832,161,0.8873114463176575,0.8613264427217916,0.8014973842254179
B2704,0.9353507981776497,0.8626728110599078,0.6545725285102055,-1,926,16,10,133,0.9830148619957537,0.874409820585458,0.11710709567071977
B2705,0.9358540527778282,0.8275547445255474,0.9392540858138156,-1,1892,118,1736,638,0.9412935323383085,0.7478260869565218,0.6783394285099225
B3501,0.9357887113058524,0.8848785090823308,0.9598126150833901,-1,2996,75,755,413,0.9755779876261804,0.8788501026694046,0.7003040971181995
B3503,0.9352514629787176,0.9148001756697409,0.9695263925491902,-1,1910,14,173,180,0.9927234927234927,0.9138755980861244,0.6364595806494174
B3801,0.9348468274894284,0.9660217083529967,0.9863072792695862,-1,1854,13,193,59,0.9930369576861274,0.9691583899634083,0.8292234868414987
B3901,0.9356513095936334,0.9613619898575223,0.9880703520181687,-1,3173,104,808,56,0.9682636557827281,0.9826571694022918,0.8858643309986223
B3906,0.9351023564799635,0.9111570247933884,0.7299934672546138,-1,870,14,12,72,0.9841628959276018,0.9235668789808917,0.22116983358717923
B4001,0.9362979588973838,0.9019473864024599,0.9639933162179146,-1,1554,79,1086,208,0.9516227801592162,0.8819523269012486,0.8024267538570847
B4002,0.9358376464604417,0.7290108063175395,0.9555597401374636,-1,669,7,208,319,0.9896449704142012,0.6771255060728745,0.4977225995621733
B4403,0.9359105344094926,0.560418648905804,0.8396541225185726,-1,2047,31,309,1817,0.9850818094321463,0.5297619047619048,0.23917061482410165
B4501,0.9353424324884118,0.9727748691099476,0.994032634032634,-1,712,23,217,3,0.9687074829931973,0.9958041958041958,0.9271117403034985
B5101,0.9361034500198536,0.774119196575568,0.9034473878626115,-1,1100,105,1251,581,0.9128630705394191,0.6543723973825104,0.5862558197433876
B5401,0.9358256865076431,0.8017241379310345,0.8804780633555901,-1,409,135,242,26,0.7518382352941176,0.9402298850574713,0.617412864123452
B5701,0.93670882430653,0.6179519071310116,0.9126155678876074,-1,905,37,2076,1806,0.9607218683651805,0.33382515676872004,0.3958953516341536
C0401,0.9360924904099764,0.8875786163522013,0.7206068003487357,-1,1103,99,26,44,0.9176372712146422,0.9616390584132519,0.22144267286462208
C0501,0.9350828284764323,0.9422299248989023,0.901757823257717,-1,1564,95,67,5,0.9427365883062085,0.9968132568514978,0.5986596885793681
C0602,0.9357526726090539,0.9287878787878788,0.9383843276856526,-1,1156,82,70,12,0.9337641357027464,0.9897260273972602,0.5954316948870645
C0702,0.934595038391618,0.9284862932061978,0.9434563021519543,-1,772,4,7,56,0.9948453608247423,0.9323671497584541,0.24548056456428707
C0802,0.935410287874068,0.9602220166512488,0.9216131064902332,-1,1034,42,4,1,0.9609665427509294,0.9990338164251208,0.2558041640451412
C1203,0.9351537951820106,0.9787007454739084,0.8428182807399347,-1,911,12,8,8,0.9869989165763814,0.9912948857453754,0.4365319981626511
C1402,0.93546533253715,0.9135687732342007,0.6113850230131523,-1,967,57,16,36,0.9443359375,0.9641076769690927,0.21492600645351156
